term		index		tf-idf
一下		8		0.00444901231116
一丝		13		0.0182224205254
一个		16		0.0
一些		33		0.00921250665284
一代人		39		0.0445975849927
一位		46		0.0125296364168
一切		60		0.00629213307732
一切都是		61		0.0159851344917
一口气		82		0.0156659688381
一句		83		0.00804150575537
一吻		91		0.0222987924964
一块		104		0.0848093077666
一声		110		0.0123649451119
一如既往		123		0.0168830541813
一定		126		0.00231663132408
一年		146		0.0333006727664
一心		155		0.0156659688381
一方		179		0.0187602846624
一样		209		0.000566027537267
一楼		215		0.013151882437
一樣		217		0.0190520776622
一次		218		0.01141243545
一点		234		0.00164645521084
一班		242		0.0350178750562
一生		244		0.00803949995277
一直		259		0.0024596444139
一笑		270		0.0133445463473
一起		312		0.0138403553512
一辈子		323		0.0158727307606
一遍		328		0.0214784439589
一部		330		0.00148301398164
一集		338		0.00684835793329
三个		405		0.00536961098974
三角		465		0.0652827850783
上床		494		0.0380994552972
上来		503		0.0108963316693
下去		544		0.0186447993892
下贱		571		0.0177358632294
不了		597		0.0021386616605
不仅仅		603		0.0416603581075
不会		605		0.00289347026218
不像		618		0.0114642429071
不到		634		0.00308473798342
不变		647		0.0150819054021
不可		648		0.0298663903652
不同		662		0.00530822763249
不在意		672		0.0235817495626
不够		679		0.00467765291973
不好		689		0.00141615631148
不如		693		0.0107693605645
不帅		711		0.0118270809749
不得		722		0.0107171909131
不想		739		0.0226034643524
不愿		743		0.0316461155544
不敢		761		0.0197126595305
不是		769		0.000100732684554
不止		780		0.021671833817
不清		788		0.019691033968
不然		799		0.00595804273038
不爱		802		0.0126998184324
不用说		808		0.0155135698282
不算什么		834		0.0184842721626
不管		835		0.00833003289441
不经意		841		0.0252994361934
不肯		848		0.016152526134
不能		851		0.00298233933081
不能不		852		0.0140826317426
不要		865		0.00350099284247
不论是		881		0.0235817495626
不过		899		0.00404806108831
不送		904		0.0471634991253
不错		914		0.000349074100158
不高		926		0.0172916712198
专一		951		0.0691666848791
专心		958		0.0445975849927
世上		966		0.0110193493738
世界		974		0.00384979363036
东东		984		0.0132473055462
东京		986		0.0512498263191
东西		1002		0.00687649943221
两个		1018		0.00855392379459
两人		1019		0.0248657194228
两集		1065		0.00911823027774
个性		1086		0.0165771462819
中国		1107		0.00869651350668
中心思想		1124		0.0731060606633
丰富		1149		0.0125296364168
丸子		1157		0.51440609688
为了		1162		0.00364262621319
为什么		1165		0.00123101058279
主要		1208		0.00545262074885
主题曲		1215		0.0303281830325
举止		1227		0.0204215620153
之一		1239		0.00851218499103
之中		1242		0.016690390271
之后		1253		0.0109645976021
之类		1282		0.0101093943442
之间		1287		0.00797051258259
事情		1421		0.00462400982329
二十年		1449		0.0582314288311
人太多		1659		0.0187602846624
人少		1666		0.0204215620153
人性		1676		0.0200125195434
人才		1682		0.0204325553356
人生		1714		0.0112889600543
什么		1749		0.000143903835077
什麼		1753		0.0268873508737
今天		1767		0.00547358582022
今年		1768		0.0104877146308
从小		1788		0.0097087977122
仔细		1801		0.014182832414
他们		1804		0.00277234862625
他們		1807		0.0204215620153
他来		1818		0.0235817495626
付出		1825		0.019132647384
以为		1862		0.00518761143119
以前		1863		0.0045206613349
以后		1865		0.0112127544803
任何人		1881		0.0270895352114
优柔寡断		1912		0.0393820679361
