term		index		tf-idf
一下		8		0.00299579654337
一个		16		0.0
一个月		25		0.0224986214719
一人		34		0.0207276990125
一代		38		0.0192441355499
一份		42		0.0139283345355
一定		126		0.00207990916562
一帮		142		0.019565806501
一年		146		0.00747447099029
一把		165		0.0243303126291
一是		188		0.016136762667
一样		209		0.000338792467183
一楼		215		0.0236159466045
一次次		220		0.021172077122
一死		224		0.0173831275425
一流		230		0.0107514048273
一点		234		0.00147821418463
一生		244		0.0144359868271
一直		259		0.00110415431827
一看		260		0.0083030219901
一线		282		0.0148182177055
一股		290		0.0139283345355
一般		296		0.00252794073005
一辆		320		0.0580079994687
一辈		322		0.0165954792596
一部		330		0.00266294799789
一集		338		0.00409904452983
丁丁		349		0.0179951474138
万块		386		0.0218786022123
三哥		429		0.01465738223
上映		501		0.0239619001697
上瘾		514		0.016136762667
上级		516		0.0140651608376
上课		523		0.029969806021
上面		534		0.00623911053961
下水		562		0.0191004752926
下班		565		0.0183348095014
下车		574		0.029969806021
不会		605		0.00086593483912
不伦不类		606		0.0168432877573
不到		634		0.00276952777879
不可思议		652		0.013795474777
不如		693		0.00241722663346
不少		705		0.00621399628097
不得		722		0.00962206777497
不得不		723		0.00712539752211
不怎么		732		0.0102137595627
不怎么样		733		0.00750756384694
不想		739		0.00202937567979
不易		768		0.013795474777
不是		769		0.000135659156273
不火		792		0.0353578591509
不用		807		0.00669584128258
不能		851		0.00133879630407
不行		863		0.00532885492503
不要		865		0.00440054739681
不说		885		0.00907637816028
不过		899		0.00136290558079
不配		910		0.0235570152533
不错		914		0.000731276903374
丑八怪		936		0.0290039997344
专业		952		0.00757447511902
世上		966		0.00989335054029
世道		978		0.0183348095014
东西		1002		0.00617383268877
丢人		1011		0.0105535320533
两个		1018		0.00255995049327
两大		1032		0.0191004752926
两遍		1061		0.0117238729475
个人		1080		0.0023845272743
中国		1107		0.00312314833413
丰田		1151		0.0200202174655
临时工		1153		0.0218786022123
为了		1162		0.00163520443866
为什么		1165		0.000390078092248
乌龙		1292		0.034766255085
乐队		1307		0.0191004752926
书呆子		1352		0.0179951474138
书生		1354		0.027081558429
书记		1355		0.0171052642438
事儿		1413		0.0103638495062
事迹		1427		0.040040434931
二是		1470		0.0168432877573
二爷		1478		0.0353578591509
五个		1520		0.0142061978343
五十		1523		0.0173831275425
亵渎		1624		0.0227142440304
人民		1701		0.0180596927652
人物		1709		0.00632807407891
什么		1749		0.000148579075918
今天		1767		0.00491427410048
他们		1804		0.000711159871059
他俩		1806		0.0228249019963
仙人掌		1831		0.0227142440304
以为		1862		0.00621002887613
以前		1863		0.00304404228482
价值观		1877		0.0153376416854
企业		1892		0.0806838133351
优酷		1919		0.00174678485023
似的		2007		0.00334792064129
但是		2010		0.000334699076018
低级		2024		0.0140651608376
体现		2039		0.0290251648896
何必		2059		0.0158490370075
作为		2081		0.0137744966681
你们		2101		0.00222078833101
使者		2132		0.0151578797931
值得		2268		0.00506770569042
做作		2320		0.0117058333487
做生意		2337		0.0151578797931
停留		2350		0.0390746286444
儿子		2421		0.0139357391932
兄弟		2436		0.00964184762356
全面		2552		0.0159235455843
八十年代		2560		0.0191004752926
公务员		2592		0.0331909585191
公安局		2600		0.0497864377787
公安局长		2601		0.0218786022123
六组		2629		0.034766255085
关系		2663		0.0220884093219
其人		2685		0.0218786022123
其他		2686		0.00250558292603
其实		2690		0.00386089475385
典型		2697		0.00898378226887
内地		2718		0.00884830420647
内心		2722		0.00893817651214
内涵		2727		0.0117238729475
内疚		2728		0.0176789295754
内裤		2731		0.0145019998672
再回首		2739		0.018701672504
军人		2781		0.0109582071563
冲着		2856		0.00567137449821
决定		2862		0.00807238102772
几万		2909		0.018701672504
几十块		2922		0.0227142440304
几岁		2940		0.0121607119771
几年		2941		0.0109507646528
几百块		2958		0.0227142440304
几集		2970		0.0145183271562
出事		2998		0.0125428783019
出入		3003		0.0157198080102
出场		3015		0.00721799341353
出来		3032		0.000739107092313
出身		3053		0.024695626175
分身		3101		0.0200202174655
分钟		3105		0.00727673034842
刑警		3112		0.0449547090315
刑警队		3113		0.168315052536
初中		3169		0.0119809500849
判断力		3184		0.0635162313661
利用		3190		0.00967505496321
别墅		3200		0.029636435411
别用		3216		0.0191004752926
别的		3217		0.0173890824098
到哪去		3230		0.0163603846139
到底		3236		0.00699162444744
制服		3247		0.0145019998672
前期		3294		0.0314396160204
剧中		3314		0.0193577695416
